,UF,Qtd,ano
16,MG,25547,2023
34,SC,19685,2023
52,RJ,13677,2023
70,RS,13197,2023
88,SP,12200,2023
106,BA,11054,2023
124,PR,20504,2023
142,ES,5640,2023
160,GO,8730,2023
178,PE,7607,2023
