;data_inversa;uf;municipio;br;km;latitude;longitude;acidentes_2017;acidentes_2018;acidentes_2019;acidentes_2020;acidentes_2021;acidentes_2022;acidentes_2023;acidentes_2024
23786;2024-07-08;PA;DOM ELISEU;222;57;-4,461455;2024-07-08;0;0;0;0;0;0;0;5
23787;2024-07-08;RJ;RIO BONITO;101;270;-22,720229;2024-07-08;0;0;0;0;0;0;0;2
23788;2024-07-08;SC;LAGES;116;238,2;-27,75024044;2024-07-08;0;0;0;0;0;0;0;2
23789;2024-07-08;BA;MURITIBA;101;213;-12,61416915;2024-07-08;0;0;0;0;0;0;0;2
23790;2024-07-08;GO;VILA BOA;20;86,1;-15,04924798;2024-07-08;0;0;0;0;0;0;0;4
23791;2024-07-08;MG;OLIVEIRA;381;614;-20,70918158;2024-07-08;0;0;0;0;0;0;0;1
23792;2024-07-08;RS;GARIBALDI;470;222,2;-29,21633755;2024-07-08;0;0;0;0;0;0;0;1
23793;2024-07-08;SC;SAO MIGUEL DO OESTE;163;68,5;-26,74522714;2024-07-08;0;0;0;0;0;0;0;3
23794;2024-07-08;SC;INDAIAL;470;66,5;-26,87025771;2024-07-08;0;0;0;0;0;0;0;1
23795;2024-07-08;MG;RIO CASCA;262;141;-20,06617491;2024-07-08;0;0;0;0;0;0;0;1
23796;2024-07-08;PR;LARANJEIRAS DO SUL;158;404,8;-25,36984;2024-07-08;0;0;0;0;0;0;0;4
23797;2024-07-08;MT;SINOP;163;841;-11,93347098;2024-07-08;0;0;0;0;0;0;0;4
23798;2024-07-08;RS;CANOAS;116;265;-29,92590926;2024-07-08;0;0;0;0;0;0;0;3
23799;2024-07-08;MS;DOURADOS;163;256,1;-22,25912005;2024-07-08;0;0;0;0;0;0;0;1
23800;2024-07-08;PE;TACAIMBO;232;160,3;-8,33165566;2024-07-08;0;0;0;0;0;0;0;3
23801;2024-07-08;PR;CAMBIRA;376;222,4;-23,60181386;2024-07-08;0;0;0;0;0;0;0;1
23802;2024-07-08;MG;GOVERNADOR VALADARES;116;412,4;-18,87651798;2024-07-08;0;0;0;0;0;0;0;2
23803;2024-07-08;SP;ARAMINA;0;0;-20,08821541;2024-07-08;0;0;0;0;0;0;0;2
23804;2024-07-08;MS;ELDORADO;163;44;-23,75654022;2024-07-08;0;0;0;0;0;0;0;1
