;data_inversa;uf;municipio;br;km;latitude;longitude;acidentes_2017;acidentes_2018;acidentes_2019;acidentes_2020;acidentes_2021;acidentes_2022;acidentes_2023;acidentes_2024
0;2023-01-01;ES;SOORETAMA;101;114;-19,09484877;-40,05095848;0;0;0;0;0;0;6;0
1;2023-01-01;SP;TAUBATE;116;113,1;-23,0445658;-45,58259814;0;0;0;0;0;0;5;0
2;2023-01-01;MT;GUARANTA DO NORTE;163;1112;-9,70020602;-54,87588757;0;0;0;0;0;0;3;0
3;2023-01-01;PR;ORTIGUEIRA;376;314,8;-23,985512;-51,083555;0;0;0;0;0;0;3;0
4;2023-01-01;MG;MANHUACU;116;569,4;-20,10007457;-42,17884091;0;0;0;0;0;0;9;0
5;2023-01-01;MG;CORREGO DANTA;262;569,8;-19,716043;-46,021922;0;0;0;0;0;0;2;0
6;2023-01-01;PR;MANDIRITUBA;116;152;-25,862553;-49,362008;0;0;0;0;0;0;5;0
7;2023-01-01;MG;CAMBUI;381;897,3;-22,63961103;-46,08077997;0;0;0;0;0;0;9;0
8;2023-01-01;SP;TAUBATE;116;105,5;-23,00757973;-45,51466613;0;0;0;0;0;0;37;0
9;2023-01-01;BA;SERRINHA;116;366;-11,72514;-38,98642914;0;0;0;0;0;0;8;0
10;2023-01-01;MG;SAO GONCALO DO RIO ABAIXO;381;365;-19,85428822;-43,22658777;0;0;0;0;0;0;1;0
11;2023-01-01;RJ;NOVA IGUACU;465;18;-22,831354;-43,615128;0;0;0;0;0;0;11;0
12;2023-01-02;RS;SAO PEDRO DO BUTIA;392;680;-28,12855781;-54,90058898;0;0;0;0;0;0;3;0
13;2023-01-02;SC;BALNEARIO CAMBORIU;101;134;-27,00218;-48,636433;0;0;0;0;0;0;82;0
14;2023-01-02;PI;TERESINA;316;7,7;-5,15584638;-42,77173332;0;0;0;0;0;0;29;0
15;2023-01-02;GO;CUMARI;50;307,6;-18,3769;-48,0609;0;0;0;0;0;0;3;0
16;2023-01-02;PE;RECIFE;101;68;-8,05074296;-34,94580619;0;0;0;0;0;0;93;0
17;2023-01-02;ES;GUARAPARI;101;329,8;-20,5929953;-40,50133975;0;0;0;0;0;0;3;0
18;2023-01-02;MG;PATOS DE MINAS;365;376;-18,54013425;-46,18821401;0;0;0;0;0;0;5;0
19;2023-01-02;RS;ELDORADO DO SUL;290;127,6;-30,056417;-51,479671;0;0;0;0;0;0;33;0
