tipo,unico,auto,moto,ciclom,ciclista,pedestre,onibus,caminhao,viatura,outros
auto,1417,27242,14453,338,639,708,7108,4985,583,518
moto,1018,14453,1260,40,257,552,743,420,185,57
ciclom,5,338,40,3,3,10,24,12,3,5
ciclista,20,639,257,3,15,15,184,37,5,2
pedestre,21,708,552,10,15,59,283,33,8,5
onibus,21,7108,743,24,184,283,197,299,60,66
caminhao,101,4985,420,12,37,33,299,137,41,81
viatura,24,583,185,3,5,8,60,41,21,18
outros,3,518,57,5,2,5,66,81,18,23
