,Unnamed: 0.1,Unnamed: 0,UF,Qtd,ano
0,0,0,MG,41199,2007
1,1,1,SC,30649,2007
2,2,2,RJ,24143,2007
3,3,3,RS,22215,2007
4,4,4,SP,21729,2007
5,5,5,BA,17444,2007
6,6,6,PR,14903,2007
7,7,7,ES,13275,2007
8,8,8,GO,11749,2007
9,9,9,PE,10164,2007
10,10,10,PA,6881,2007
11,11,11,RN,6662,2007
12,12,12,PB,5905,2007
13,13,13,MT,5633,2007
14,14,14,MS,5304,2007
15,15,15,CE,4910,2007
16,16,16,MA,4678,2007
17,17,17,RO,4517,2007
18,18,18,PI,3808,2007
19,19,19,AL,3580,2007
20,20,20,DF,2730,2007
21,21,21,SE,2628,2007
22,22,22,TO,1550,2007
23,23,23,RR,1199,2007
24,24,24,AC,766,2007
25,25,25,AM,484,2007
26,26,26,AP,419,2007
27,28,0,MG,45174,2008
28,29,1,SC,32614,2008
29,30,2,RJ,28163,2008
30,31,3,SP,24021,2008
31,32,4,RS,23504,2008
32,33,5,PR,19421,2008
33,34,6,BA,18910,2008
34,35,7,ES,13657,2008
35,36,8,GO,13543,2008
36,37,9,PE,11604,2008
37,38,10,PA,7360,2008
38,39,11,PB,7030,2008
39,40,12,MT,6811,2008
40,41,13,MS,6237,2008
41,42,14,RN,6164,2008
42,43,15,CE,5996,2008
43,44,16,RO,5513,2008
44,45,17,MA,5198,2008
45,46,18,PI,4178,2008
46,47,19,AL,3983,2008
47,48,20,SE,2810,2008
48,49,21,DF,2524,2008
49,50,22,TO,1760,2008
50,51,23,AC,845,2008
51,52,24,RR,844,2008
52,53,25,AM,521,2008
53,54,26,AP,498,2008
54,56,0,MG,50424,2009
55,57,1,SC,37248,2009
56,58,2,PR,31926,2009
57,59,3,RJ,29716,2009
58,60,4,SP,24474,2009
59,61,5,RS,24442,2009
60,62,6,BA,19833,2009
61,63,7,GO,15621,2009
62,64,8,ES,14448,2009
63,65,9,PE,13174,2009
64,66,10,PA,7862,2009
65,67,11,MT,7684,2009
66,68,12,PB,7592,2009
67,69,13,RO,7471,2009
68,70,14,RN,7189,2009
69,71,15,MS,6618,2009
70,72,16,CE,6490,2009
71,73,17,MA,5243,2009
72,74,18,PI,4624,2009
73,75,19,AL,4269,2009
74,76,20,DF,3085,2009
75,77,21,SE,2706,2009
76,78,22,TO,2157,2009
77,79,23,AC,973,2009
78,80,24,RR,793,2009
79,81,25,AM,639,2009
80,82,26,AP,442,2009
81,83,0,MG,54901,2010
82,84,1,PR,44087,2010
83,85,2,SC,40746,2010
84,86,3,RJ,34479,2010
85,87,4,RS,31237,2010
86,88,5,SP,26076,2010
87,89,6,BA,22073,2010
88,90,7,GO,19074,2010
89,91,8,ES,16941,2010
90,92,9,PE,16846,2010
91,93,10,PA,9897,2010
92,94,11,CE,8671,2010
93,95,12,RN,8553,2010
94,96,13,MS,8515,2010
95,97,14,PB,8051,2010
96,98,15,RO,8031,2010
97,99,16,MT,7989,2010
98,100,17,MA,6183,2010
99,101,18,PI,5476,2010
100,102,19,AL,5427,2010
101,103,20,SE,3310,2010
102,104,21,DF,3171,2010
103,105,22,TO,2573,2010
104,106,23,AC,1103,2010
105,107,24,AM,878,2010
106,108,25,RR,684,2010
107,109,26,AP,439,2010
108,110,0,MG,55095,2011
109,111,1,PR,48588,2011
110,112,2,SC,40368,2011
111,113,3,RJ,38002,2011
112,114,4,RS,31939,2011
113,115,5,SP,27654,2011
