uf,qtd,ano
AL,2239,2017
AL,1775,2018
AL,1639,2019
AL,1616,2020
AL,1417,2021
AL,1412,2022
AL,1542,2023
AL,1165,2024
DF,2730,2007
DF,2524,2008
DF,3085,2009
DF,3171,2010
DF,3815,2011
DF,3419,2012
DF,3563,2013
DF,3170,2014
DF,2552,2015
DF,2656,2016
DF,2756,2017
DF,2224,2018
DF,2796,2019
DF,2516,2020
DF,2473,2021
DF,2227,2022
DF,2595,2023
DF,1792,2024
SE,2628,2007
SE,2810,2008
SE,2706,2009
SE,3310,2010
SE,3667,2011
SE,3668,2012
SE,3426,2013
SE,3497,2014
SE,2513,2015
SE,1726,2016
SE,1889,2017
SE,1381,2018
SE,1529,2019
SE,1431,2020
SE,1261,2021
SE,1353,2022
SE,1329,2023
SE,963,2024
TO,1550,2007
TO,1760,2008
TO,2157,2009
TO,2573,2010
TO,2524,2011
TO,2780,2012
TO,3177,2013
TO,3282,2014
TO,1950,2015
TO,1984,2016
TO,2256,2017
TO,1863,2018
TO,1445,2019
TO,1789,2020
TO,1549,2021
TO,1842,2022
TO,1940,2023
TO,1627,2024
RR,1199,2007
RR,844,2008
RR,793,2009
RR,684,2010
RR,737,2011
RR,661,2012
RR,884,2013
RR,884,2014
RR,818,2015
RR,743,2016
RR,756,2017
RR,625,2018
RR,648,2019
RR,636,2020
RR,708,2021
RR,610,2022
RR,431,2023
RR,298,2024
AC,766,2007
AC,845,2008
AC,973,2009
AC,1103,2010
AC,1248,2011
AC,1302,2012
AC,1027,2013
AC,1103,2014
AC,1151,2015
AC,820,2016
AC,804,2017
AC,653,2018
AC,638,2019
AC,677,2020
AC,602,2021
AC,571,2022
AC,558,2023
AC,467,2024
AM,484,2007
AM,521,2008
AM,639,2009
AM,878,2010
AM,873,2011
AM,659,2012
AM,595,2013
AM,447,2014
AM,451,2015
AM,481,2016
AM,356,2017
AM,369,2018
AM,272,2019
AM,431,2020
AM,274,2021
AM,363,2022
AM,360,2023
AM,418,2024
AP,419,2007
AP,498,2008
AP,442,2009
AP,439,2010
AP,703,2011
AP,639,2012
AP,819,2013
AP,751,2014
AP,599,2015
AP,486,2016
AP,439,2017
AP,546,2018
AP,339,2019
AP,403,2020
AP,431,2021
AP,482,2022
AP,369,2023
AP,254,2024
