;data_inversa;uf;municipio;br;km;latitude;longitude;acidentes
31417;2021-11-14;RJ;MANGARATIBA;101;441;-22.96243168;-44.0882022;2
31418;2021-11-14;BA;SAPEACU;101;228;-12.7099838;-39.1684442;4
31419;2021-11-14;RR;BOA VISTA;174;510;2.850846;-60.703896;3
31420;2021-11-14;RJ;BARRA DO PIRAI;393;280;-22.47537036;-44.05097192;4
31421;2021-11-14;AL;MATA GRANDE;316;0,6;-8.917299;-37.827415;8
31422;2021-11-14;PB;CABEDELO;230;3,8;-6.9915;-34.8287;4
31423;2021-11-14;TO;ARAGUATINS;230;142;-5.72410524;-48.13196906;2
31424;2021-11-14;RJ;DUQUE DE CAXIAS;116;143;-22.67217444;-43.28492045;1
31425;2021-11-14;RS;CACAPAVA DO SUL;153;532;-30.7115273;-53.50141876;2
31426;2021-11-14;AL;COQUEIRO SECO;424;102,7;-9.67528027;-35.83639383;2
31427;2021-11-14;RS;BENTO GONCALVES;470;206;-29.094876;-51.54889;7
31428;2021-11-14;RO;JI-PARANA;364;340,8;-10.89263748;-61.93055391;4
31429;2021-11-14;CE;BELA CRUZ;403;26,7;-3.10389999;-40.08336719;4
31430;2021-11-14;RS;VACARIA;116;39,2;-28.51449714;-50.93477726;4
31431;2021-11-14;SE;PROPRIA;101;2,2;-10.22260924;-36.83049779;2
31432;2021-11-14;RJ;ITABORAI;101;294;-22.75924493;-42.89525986;2
31433;2021-11-14;MA;CAXIAS;316;613,5;-4.8627712;-43.4241536;2
31434;2021-11-14;PR;IBIPORA;369;138;-23.27107065;-51.04839742;4
31435;2021-11-15;PE;SAO CAITANO;232;149,1;-8.32744699;-36.15405;4
31436;2021-11-14;BA;JEREMOABO;235;81,5;-10.10675616;-38.36314473;2
