;data_inversa;uf;municipio;br;km;latitude;longitude;acidentes
0;2020-01-01;PA;SAO FRANCISCO DO PARA;316;84;-1.3101929;-47.74456398;19
1;2020-01-01;MG;UBERABA;262;804;-19.76747537;-47.98725511;4
2;2020-01-01;BA;CANUDOS;116;191;-10.32002103;-39.06425211;3
3;2020-01-01;SP;APARECIDA;116;71;-22.85651665;-45.23114328;15
4;2020-01-01;MG;JUATUBA;262;380,9;-19.947864;-44.381226;21
5;2020-01-01;PR;CAMPINA GRANDE DO SUL;116;32,1;-25.10497579;-48.83973903;11
6;2020-01-01;MT;ALTO GARCAS;364;59,8;-16.93422161;-53.54225988;3
7;2020-01-01;MT;NOVA MUTUM;163;605,5;-13.75817491;-56.0531795;5
8;2020-01-01;SC;JOACABA;282;388,9;-27.179003;-51.531616;4
9;2020-01-01;MG;SABARA;0;0;-19.78607788;-43.71630549;2
10;2020-01-01;PR;MORRETES;277;49;-25.59108;-48.89463;4
11;2020-01-01;MG;PERDOES;381;667,5;-21.05312771;-45.01951404;2
12;2020-01-01;MG;LUZ;262;548;-19.73163489;-45.8631039;18
13;2020-01-01;PR;GUARATUBA;376;667;-25.86649659;-48.94666822;14
14;2020-01-02;SP;JUQUIA;116;407,1;-24.32689195;-47.56569901;4
15;2020-01-02;SC;SANGAO;101;363;-28.67634681;-49.12963202;6
16;2020-01-02;SC;SAO BENTO DO SUL;280;111;-26.31295828;-49.38837778;6
17;2020-01-02;SP;OCAUCU;153;287,9;-22.47307976;-49.88805771;5
18;2020-01-02;MT;ALTO ARAGUAIA;364;11,3;-17.26808961;-53.29705668;6
19;2020-01-02;CE;FORTALEZA;116;4;-3.7867209;-38.5114568;26
20;2020-01-02;MG;FRANCISCO SA;251;492,5;-16.54433804;-43.59543496;50
21;2020-01-02;PR;PONTA GROSSA;373;172,5;-25.08139932;-50.19200981;41
22;2020-01-02;MA;DOM PEDRO;135;292;-4.91258731;-44.37054035;2
23;2020-01-02;RS;TAQUARI;386;373,7;-29.610334;-51.804359;2
24;2020-01-02;AL;RIO LARGO;101;89;-9.49037062;-35.89829517;1
25;2020-01-02;PB;CAMPINA GRANDE;230;132;-7.2774;-35.7367;6
26;2020-01-02;BA;PORTO SEGURO;367;56,6;-16.38851188;-39.348101;5
27;2020-01-02;MG;POCOS DE CALDAS;146;596;-21.74732471;-46.40491826;2
28;2020-01-02;GO;IPAMERI;50;132,8;-17.0245;-47.7626;7
29;2020-01-02;BA;BREJOES;116;572;-13.026093;-39.96092;15
30;2020-01-02;BA;FEIRA DE SANTANA;116;438,9;-12.31624811;-39.04401672;17
31;2020-01-02;SC;XAXIM;282;520,7;-26.950415;-52.526096;10
32;2020-01-02;MG;MANHUACU;116;571,4;-20.11476401;-42.18102184;1
33;2020-01-02;SC;IBIRAMA;470;121;-27.09550316;-49.52962875;5
34;2020-01-02;MG;LEOPOLDINA;116;777,4;-21.59632074;-42.69196405;7
35;2020-01-02;PE;RECIFE;101;58,6;-7.97063209;-34.92064675;35
36;2020-01-02;MG;CAMBUI;381;892,8;-22.58389953;-46.04782104;2
37;2020-01-02;TO;COLINAS DO TOCANTINS;153;250;-8.05584913;-48.46619817;5
38;2020-01-02;PR;ANTONINA;116;18;-25.103973;-48.710786;14
39;2020-01-02;ES;MIMOSO DO SUL;101;435,4;-21.05500952;-41.19609059;8
40;2020-01-02;BA;ITATIM;116;528,4;-12.71846546;-39.74793434;3
41;2020-01-03;RJ;CAMPOS DOS GOYTACAZES;101;11,6;-21.30766784;-41.3253282;7
42;2020-01-03;MG;MONTE ALEGRE DE MINAS;153;59;-18.88622703;-49.05195006;4
43;2020-01-03;GO;CRISTALINA;40;92,5;-16.730814;-47.626211;23
44;2020-01-03;RN;CURRAIS NOVOS;226;148,2;-6.20865867;-36.29031686;6
45;2020-01-03;SC;JOINVILLE;101;36,8;-26.24573198;-48.9101069;5
46;2020-01-03;GO;ANAPOLIS;153;440,4;-16.306765;-48.923847;7
47;2020-01-03;BA;SANTA TERESINHA;116;511;-12.64828829;-39.60617355;4
