;data_inversa;uf;municipio;br;km;latitude;longitude;acidentes
0;2022-01-01;PI;MARCOLANDIA;316;415;-7.43280012;-40.68261908;3
1;2022-01-01;PR;CAMPINA GRANDE DO SUL;116;33;-25.114403;-48.8467554;3
2;2022-01-01;MS;NOVA ALVORADA DO SUL;163;393;-21.228445;-54.456296;5
3;2022-01-01;RJ;ANGRA DOS REIS;101;457;-23.03149804;-44.17715297;2
4;2022-01-01;MG;RIBEIRAO DAS NEVES;40;508,3;-19.76061249;-44.1347544;8
5;2022-01-01;PB;CACHOEIRA DOS INDIOS;116;8,7;-6.964668;-38.727608;3
6;2022-01-01;MG;CAETANOPOLIS;40;452,2;-19.33382121;-44.36107939;4
7;2022-01-01;SC;GUARACIABA;163;80,1;-26.65043908;-53.5185463;4
8;2022-01-01;SC;BALNEARIO CAMBORIU;101;139,7;-27.02982303;-48.60115006;39
9;2022-01-01;CE;IPAUMIRIM;116;415,4;-6.741404;-38.792746;5
10;2022-01-01;MT;PONTAL DO ARAGUAIA;70;0;-15.9106;-52.2614;7
11;2022-01-01;PE;AGUAS BELAS;423;177;-9.13016345;-37.11460498;11
12;2022-01-01;MT;VARZEA GRANDE;364;446;-15.61443692;-56.20471037;4
13;2022-01-01;BA;ALAGOINHAS;101;96;-12.11006784;-38.38454512;5
14;2022-01-01;MG;JEQUITAI;365;101;-17.22428188;-44.53423396;2
15;2022-01-01;GO;ACREUNA;60;291;-17.3057;-50.2783;7
16;2022-01-01;SP;SAO JOSE DOS CAMPOS;116;147;-23.19542994;-45.87176303;49
17;2022-01-02;BA;SAO GONCALO DOS CAMPOS;101;177;-12.519078;-38.970829;16
18;2022-01-02;MT;SANTO ANTONIO DO LEVERGER;364;350;-15.79356276;-55.58572076;2
19;2022-01-02;MG;SANTOS DUMONT;40;737,8;-21.39150494;-43.56782913;19
20;2022-01-02;BA;SANTA BARBARA;116;382,8;-11.86763402;-38.97814273;1
21;2022-01-02;BA;FEIRA DE SANTANA;116;441,9;-12.35321588;-39.0945505;2
22;2022-01-02;PR;CAMPINA GRANDE DO SUL;116;8,4;-25.08123277;-48.62449108;9
23;2022-01-02;SC;PONTE ALTA;470;204,1;-27.289373;-50.166328;16
24;2022-01-02;SC;CAMPOS NOVOS;470;289,7;-27.3354991;-50.96000791;6
25;2022-01-02;MG;MURIAE;116;700,5;-21.09077508;-42.37304541;2
26;2022-01-02;SC;BALNEARIO PICARRAS;101;101,8;-26.77383397;-48.68594062;15
27;2022-01-02;GO;ACREUNA;60;310;-17.413;-50.4108;7
28;2022-01-02;SC;PAPANDUVA;116;54;-26.39448417;-50.16480003;6
29;2022-01-02;DF;BRASILIA;60;15,1;-15.943619;-48.172115;4
30;2022-01-02;MG;POUSO ALEGRE;381;867,3;-22.411919;-45.96177005;4
31;2022-01-02;SP;BARRA DO TURVO;116;566;-25.041697;-48.549812;9
32;2022-01-02;MG;JUIZ DE FORA;40;771,9;-21.60932712;-43.45892723;16
33;2022-01-02;PR;GENERAL CARNEIRO;153;504,7;-26.51557365;-51.35702312;1
34;2022-01-02;RS;ELDORADO DO SUL;290;112;-30.040455;-51.329193;14
35;2022-01-02;MT;CANARANA;158;515,3;-13.64708685;-51.96475613;2
36;2022-01-02;SC;ITAJAI;101;118;-26.895859;-48.71903;63
37;2022-01-03;SC;PORTO BELO;101;158,9;-27.19096301;-48.61259017;43
38;2022-01-03;SC;CAPIVARI DE BAIXO;101;329;-28.45039264;-48.97180974;3
39;2022-01-03;SC;ITAJAI;101;120;-26.912758;-48.711998;39
40;2022-01-03;ES;SERRA;101;269,8;-20.21740496;-40.26990578;107
41;2022-01-03;SC;ITAJAI;101;122;-26.92955916;-48.70499836;33
42;2022-01-03;RJ;SEROPEDICA;116;199;-22.7273;-43.6444;3
43;2022-01-03;GO;ANAPOLIS;153;439;-16.298529;-48.928207;12
44;2022-01-03;GO;CEZARINA;60;227,5;-17.0331;-49.7777;7
45;2022-01-03;SP;SAO LOURENCO DA SERRA;116;314;-23.89562822;-46.98556063;10
46;2022-01-03;MG;GOVERNADOR VALADARES;116;396;-18.74773492;-41.98373226;4
47;2022-01-03;BA;FEIRA DE SANTANA;116;420;-12.22252779;-38.92521598;4
48;2022-01-03;SP;EMBU DAS ARTES;116;278;-23.63662093;-46.83316686;3
49;2022-01-03;RR;BOA VISTA;174;503;2.794901;-60.698441;12
50;2022-01-03;PE;BELEM DE SAO FRANCISCO;116;82,5;-8.59605493;-39.13180196;3
51;2022-01-03;GO;NIQUELANDIA;414;236;-14.70340589;-48.60320938;3
52;2022-01-03;MG;MUZAMBINHO;146;426,9;-21.35941442;-46.47216797;2
53;2022-01-03;MG;SANTO ANTONIO DO AMPARO;381;644,1;-20.94919537;-44.8872138;4
54;2022-01-03;MG;TRES MARIAS;40;309,9;-18.425864;-45.08211;4
55;2022-01-03;MS;JUTI;163;151,6;-22.95832284;-54.43721392;2
56;2022-01-03;MT;SINOP;163;829;-11.912765;-55.508891;2
57;2022-01-03;RS;ELDORADO DO SUL;290;126;-30.055727;-51.46933;18
58;2022-01-03;SC;PALHOCA;101;238,1;-27.84293889;-48.63471922;10
59;2022-01-03;SC;ITAJAI;101;123;-26.93668609;-48.69876905;59
60;2022-01-03;PR;SANTO ANTONIO DA PLATINA;153;38;-23.26665491;-50.06410039;10
61;2022-01-03;RS;SANTA MARIA;287;252,9;-29.68869466;-53.89049505;6
62;2022-01-03;PR;PARANAGUA;277;10,8;-25.568198;-48.615292;57
63;2022-01-03;RS;ARROIO GRANDE;116;613,1;-32.25818979;-53.08395721;4
64;2022-01-03;GO;GOIATUBA;153;666,7;-18.1072;-49.2766;5
65;2022-01-03;RS;MINAS DO LEAO;290;187,3;-30.152441;-52.083591;5
66;2022-01-03;PR;MAMBORE;369;398,5;-24.3044;-52.5995;6
67;2022-01-03;SP;PROMISSAO;153;143,5;-21.357059;-49.792551;5
68;2022-01-03;BA;ITATIM;116;536,5;-12.75611922;-39.80106476;7
69;2022-01-03;BA;PORTO SEGURO;367;25;-16.40866306;-39.16994905;6
