;data_inversa;uf;municipio;br;km;latitude;longitude;acidentes
0;2024-01-01;ES;CONCEICAO DA BARRA;101;38;-18.48261;-39.92379;3
1;2024-01-01;PI;PIRIPIRI;343;185;-4.29603281;-41.76732659;2
2;2024-01-01;BA;BREJOES;116;578;-13.07158302;-39.9611107;9
3;2024-01-01;SE;MALHADA DOS BOIS;101;18;-10.35601949;-36.90552235;3
4;2024-01-01;MT;RONDONOPOLIS;364;240;-16.17914141;-54.78905337;10
5;2024-01-01;MG;GRAO MOGOL;251;447;-16.43408996;-43.27992195;6
6;2024-01-01;BA;VITORIA DA CONQUISTA;116;852,9;-15.0196651;-40.94931289;8
7;2024-01-01;MG;GRAO MOGOL;251;459,7;-16.41473399;-43.368613;6
8;2024-01-01;SP;BARRA DO TURVO;116;550;-24.95749618;-48.46440871;10
9;2024-01-01;MG;CAMPOS ALTOS;262;594,4;-19.66568189;-46.16901785;1
10;2024-01-01;MT;CUIABA;364;396;-15.69004774;-55.90523988;10
11;2024-01-01;PR;ORTIGUEIRA;376;327;-24.06593407;-51.0643217;3
12;2024-01-01;MS;BANDEIRANTES;163;551;-19.89996489;-54.37326248;3
13;2024-01-01;MT;ROSARIO OESTE;364;542;-14.84114829;-56.44175649;2
14;2024-01-01;BA;ITABELA;101;733;-16.489273;-39.577433;8
15;2024-01-01;RS;TRES CACHOEIRAS;101;22;-29.4398072;-49.90113887;19
16;2024-01-01;PA;ULIANOPOLIS;10;83,3;-3.721266;-47.48965;4
17;2024-01-02;GO;JARAGUA;153;356;-15.716531;-49.329445;8
18;2024-01-02;SP;SAO JOSE DOS CAMPOS;116;134;-23.1402216;-45.7617252;23
19;2024-01-02;RJ;DUQUE DE CAXIAS;40;84;-22.52145512;-43.23707996;11
20;2024-01-02;BA;TANQUINHO;324;470;-11.96401516;-39.14447808;11
21;2024-01-02;MS;PARANAIBA;158;56;-19.41028002;-51.39686402;4
