;data_inversa;uf;municipio;br;km;latitude;longitude;acidentes
0;2023-01-01;ES;SOORETAMA;101;114;-19.09484877;-40.05095848;6
1;2023-01-01;SP;TAUBATE;116;113,1;-23.0445658;-45.58259814;5
2;2023-01-01;MT;GUARANTA DO NORTE;163;1112;-9.70020602;-54.87588757;3
3;2023-01-01;PR;ORTIGUEIRA;376;314,8;-23.985512;-51.083555;3
4;2023-01-01;MG;MANHUACU;116;569,4;-20.10007457;-42.17884091;9
5;2023-01-01;MG;CORREGO DANTA;262;569,8;-19.716043;-46.021922;2
6;2023-01-01;PR;MANDIRITUBA;116;152;-25.862553;-49.362008;5
7;2023-01-01;MG;CAMBUI;381;897,3;-22.63961103;-46.08077997;9
8;2023-01-01;SP;TAUBATE;116;105,5;-23.00757973;-45.51466613;37
9;2023-01-01;BA;SERRINHA;116;366;-11.72514;-38.98642914;8
10;2023-01-01;MG;SAO GONCALO DO RIO ABAIXO;381;365;-19.85428822;-43.22658777;1
11;2023-01-01;RJ;NOVA IGUACU;465;18;-22.831354;-43.615128;11
12;2023-01-02;RS;SAO PEDRO DO BUTIA;392;680;-28.12855781;-54.90058898;3
13;2023-01-02;SC;BALNEARIO CAMBORIU;101;134;-27.00218;-48.636433;82
14;2023-01-02;PI;TERESINA;316;7,7;-5.15584638;-42.77173332;29
15;2023-01-02;GO;CUMARI;50;307,6;-18.3769;-48.0609;3
16;2023-01-02;PE;RECIFE;101;68;-8.05074296;-34.94580619;93
17;2023-01-02;ES;GUARAPARI;101;329,8;-20.5929953;-40.50133975;3
18;2023-01-02;MG;PATOS DE MINAS;365;376;-18.54013425;-46.18821401;5
19;2023-01-02;RS;ELDORADO DO SUL;290;127,6;-30.056417;-51.479671;33
20;2023-01-02;MG;MONTE ALEGRE DE MINAS;365;653;-18.86439215;-48.5887742;2
21;2023-01-02;MG;SAO GONCALO DO RIO ABAIXO;381;370;-19.84250801;-43.31533375;3
22;2023-01-02;GO;CATALAO;50;233;-17.8272;-47.7732;3
23;2023-01-02;MG;NOVA ERA;381;333;-19.80205311;-43.05435026;4
24;2023-01-02;PE;PAULISTA;101;57;-7.96346213;-34.91513486;33
25;2023-01-02;RS;ALMIRANTE TAMANDARE DO SUL;386;154;-28.11407977;-52.8565979;5
26;2023-01-02;MS;IVINHEMA;376;133;-22.36021748;-53.70728925;23
27;2023-01-02;MT;DIAMANTINO;163;559;-14.24293501;-56.12516399;4
28;2023-01-02;SP;SAO PAULO;381;79;-23.40319901;-46.57564699;15
29;2023-01-02;MA;TIMON;316;615,7;-5.086548;-42.837265;3
30;2023-01-02;MG;ITABIRITO;40;588;-20.35149094;-43.91313094;11
31;2023-01-02;SC;PAULO LOPES;101;255;-27.98242299;-48.67898469;9
32;2023-01-02;SC;PAULO LOPES;101;252;-27.95672412;-48.6767588;10
33;2023-01-02;BA;CONCEICAO DO JACUIPE;324;533;-12.34449694;-38.84017496;41
34;2023-01-02;RS;VACARIA;116;37,9;-28.49871957;-50.9176864;10
35;2023-01-02;PI;PICOS;316;299;-7.03649583;-41.55366988;7
36;2023-01-02;MT;DIAMANTINO;364;586;-14.533322;-56.230499;1
37;2023-01-02;CE;JAGUARIBARA;116;274;-5.66025238;-38.45395088;4
38;2023-01-02;MG;PARAOPEBA;40;446;-19.28815;-44.392;22
39;2023-01-02;SC;GARUVA;101;8,9;-26.044942;-48.859703;7
40;2023-01-02;MG;CARATINGA;116;518,9;-19.71038379;-42.12370706;6
41;2023-01-02;AP;PORTO GRANDE;210;104;0.6985633;-51.39692189;7
42;2023-01-03;PB;SERRA BRANCA;412;78,6;-7.498733;-36.681053;2
43;2023-01-03;RJ;BARRA MANSA;116;270,8;-22.56259683;-44.12204951;2
44;2023-01-03;MG;SAO GONCALO DO ABAETE;40;245;-18.0946169;-45.47580786;8
45;2023-01-03;SC;PAULO LOPES;101;262;-28.0353863;-48.70884453;10
46;2023-01-03;SC;JOINVILLE;101;23,3;-26.16582501;-48.90742427;3
47;2023-01-03;PR;ORTIGUEIRA;376;315;-24.02668686;-51.09740947;5
48;2023-01-03;PE;PETROLINA;428;189;-9.37197508;-40.48679585;39
49;2023-01-02;SC;CORUPA;280;77,9;-26.44606085;-49.20347214;2
50;2023-01-03;SC;INDAIAL;470;77,4;-26.940817;-49.29287;5
51;2023-01-03;GO;FORMOSA;20;58;-15.263369;-47.16048;4
52;2023-01-03;SC;CHAPECO;480;131;-27.06314223;-52.63234636;9
53;2023-01-03;RJ;NITEROI;101;321;-22.86981096;-43.11046465;53
54;2023-01-03;MG;IBIA;262;662,7;-19.57436983;-46.73638289;7
55;2023-01-03;MS;PARANAIBA;158;103;-19.72704906;-51.13418411;6
56;2023-01-03;SE;ESTANCIA;101;158,8;-11.28684952;-37.46531707;3
57;2023-01-03;PE;AFRANIO;407;23;-8.62956368;-40.99411011;2
58;2023-01-03;MG;PRATA;153;94;-19.17916906;-48.94996047;6
59;2023-01-03;BA;IBIRAPITANGA;101;382;-13.882186;-39.488227;6
60;2023-01-03;RS;CACHOEIRA DO SUL;290;283,9;-30.249758;-53.053596;8
61;2023-01-03;MG;MURIAE;116;703;-21.12682309;-42.3832189;24
62;2023-01-03;CE;TIANGUA;222;297;-3.65826065;-40.92482891;5
63;2023-01-03;SC;CONCORDIA;153;90;-27.173784;-51.909233;7
64;2023-01-03;BA;FEIRA DE SANTANA;324;525,9;-12.315771;-38.877942;4
65;2023-01-03;PB;SANTA RITA;101;60,2;-7.00141407;-35.06459811;6
66;2023-01-03;PR;GUARAPUAVA;277;326,8;-25.37291744;-51.27180793;5
67;2023-01-03;MG;SAO GONCALO DO RIO ABAIXO;381;380;-19.8315359;-43.37649498;13
68;2023-01-03;MT;SINOP;163;800;-12.170115;-55.519555;5
69;2023-01-03;MG;OURO PRETO;40;600,9;-20.42625199;-43.86231799;4
70;2023-01-03;PR;PORTO VITORIA;153;476;-26.25554922;-51.16333008;4
71;2023-01-03;MG;COMENDADOR GOMES;153;152,6;-19.62918559;-48.89659299;12
72;2023-01-03;SC;RANCHO QUEIMADO;282;54,6;-27.685799;-48.974514;21
73;2023-01-03;MG;SANTA CRUZ DE SALINAS;251;242,5;-16.00883576;-41.80162496;3
74;2023-01-03;SP;CAJATI;116;504;-24.78266496;-48.20865858;17
75;2023-01-03;MT;POCONE;70;609,2;-15.84932911;-56.80410299;12
76;2023-01-03;MT;NOVA MUTUM;163;625,5;-13.69162599;-56.03929807;7
77;2023-01-03;MG;RIBEIRAO VERMELHO;381;683;-21.17656293;-45.12506072;5
78;2023-01-03;RJ;SEROPEDICA;116;215,5;-22.71145119;-43.73551849;9
79;2023-01-03;MG;CALDAS;459;28,5;-21.92377131;-46.37248278;2
80;2023-01-03;RS;RIO GRANDE;392;47,7;-31.90118807;-52.31761641;4
81;2023-01-03;RS;SAO GABRIEL;290;429,4;-30.293028;-54.437908;6
82;2023-01-04;SC;PONTE ALTA;116;207,4;-27.48199748;-50.37911479;3
83;2023-01-03;SC;CURITIBANOS;470;241;-27.308832;-50.490402;7
84;2023-01-04;ES;SERRA;101;270,3;-20.22662056;-40.27075088;112
85;2023-01-04;SC;ITAPEMA;101;145;-27.08139206;-48.60130993;57
86;2023-01-04;MS;PARANAIBA;158;79,2;-19.55764424;-51.24892432;3
87;2023-01-04;PR;GUARAPUAVA;277;310,8;-25.317689;-51.21451;25
88;2023-01-04;ES;COLATINA;259;28;-19.60620039;-40.496789;6
89;2023-01-04;SP;BARRA DO TURVO;116;568;-25.055473;-48.55555216;4
90;2023-01-04;PR;MARINGA;376;168,8;-23.409788;-51.987453;14
91;2023-01-04;SC;CUNHA PORA;158;112;-26.90638046;-53.18738937;2
92;2023-01-04;RJ;DUQUE DE CAXIAS;116;138;-22.64697319;-43.19165101;17
93;2023-01-04;CE;CHOROZINHO;116;64;-4.28125187;-38.49423541;11
94;2023-01-04;SC;PONTE ALTA;116;201,7;-27.43687163;-50.40434884;2
95;2023-01-04;PR;MORRETES;277;43,7;-25.59219;-48.888201;2
96;2023-01-04;PE;AGUA PRETA;101;163;-8.55039544;-35.44619699;8
97;2023-01-04;MA;CAXIAS;316;552,1;-4.882649;-43.345581;8
98;2023-01-04;SC;SAO JOSE;101;199,9;-27.53413705;-48.63003205;126
99;2023-01-04;RJ;GUAPIMIRIM;493;17,9;-22.66791406;-43.00902598;12
100;2023-01-04;GO;SIMOLANDIA;20;181;-14.470801;-46.486183;15
101;2023-01-04;RJ;NOVA IGUACU;116;186;-22.73962339;-43.46276495;68
102;2023-01-04;PR;IMBAU;376;394;-24.55402879;-50.68691653;14
103;2023-01-04;PB;SANTA RITA;230;49,9;-7.1803;-35.0485;7
104;2023-01-03;MT;SINOP;163;854;-11.69345791;-55.45153856;4
105;2023-01-04;BA;SANTA BRIGIDA;110;35;-9.76196196;-38.2464172;1
106;2023-01-04;PI;COCAL DE TELHA;343;236;-4.633632;-42.024948;4
107;2023-01-04;MT;RONDONOPOLIS;163;108;-16.582138;-54.688807;6
108;2023-01-04;BA;MUCURI;101;946;-18.099245;-39.893253;3
109;2023-01-04;RJ;ANGRA DOS REIS;101;519;-23.00804213;-44.44745093;5
110;2023-01-04;SC;ITAJAI;101;112;-26.84589005;-48.72131295;59
111;2023-01-04;MA;ALTO ALEGRE DO MARANHAO;316;409,9;-4.273087;-44.425312;4
112;2023-01-04;SC;BRUNOPOLIS;470;277,6;-27.328163;-50.834103;5
113;2023-01-04;MG;CAREACU;381;826,5;-22.105967;-45.733168;4
114;2023-01-04;SP;GUARULHOS;116;215;-23.44695693;-46.45394103;65
115;2023-01-04;RJ;DUQUE DE CAXIAS;40;120;-22.77280597;-43.28626763;75
116;2023-01-04;MG;JEQUITAI;365;73;-17.10731108;-44.34847768;1
117;2023-01-04;BA;RUY BARBOSA;242;270;-12.45172596;-40.61941624;6
118;2023-01-04;BA;GOVERNADOR MANGABEIRA;101;208;-12.60137779;-39.05031323;5
119;2023-01-04;PR;GUARAPUAVA;277;330;-25.35821419;-51.35762662;7
120;2023-01-04;RS;MUITOS CAPOES;285;167,7;-28.333096;-51.291729;5
121;2023-01-04;RS;PALMEIRA DAS MISSOES;158;113,5;-28.00584673;-53.34138747;4
122;2023-01-04;SP;ROSEIRA;116;79;-22.89420903;-45.29471098;8
123;2023-01-04;PE;IGARASSU;101;35;-7.77952193;-34.93231384;23
124;2023-01-04;MG;CONGONHAS;40;616,6;-20.54605704;-43.81990003;7
125;2023-01-04;MT;SANTO ANTONIO DO LEVERGER;364;349;-15.80502622;-55.5546431;33
126;2023-01-04;MG;EWBANK DA CAMARA;40;759;-21.520757;-43.52314305;4
127;2023-01-04;SC;NAVEGANTES;470;7;-26.84499;-48.71505;15
